map,wait_time_s,ping,kills,assists,deaths,mvps,hs_percent,points,result
Mirage,141.0,85.0,17.0,5.0,20.0,3.0,11.0,43.0,Win
Mirage,208.0,103.0,25.0,10.0,13.0,5.0,32.0,69.0,Win
Mirage,360.0,87.0,20.0,3.0,11.0,3.0,20.0,61.0,Win
Inferno,319.0,82.0,14.0,2.0,21.0,4.0,28.0,39.0,Lost
Mirage,213.0,99.0,22.0,3.0,13.0,5.0,27.0,54.0,Win
Dust II,85.0,77.0,9.0,6.0,21.0,1.0,22.0,26.0,Win
Mirage,104.0,93.0,25.0,3.0,20.0,4.0,42.0,58.0,Tie
Mirage,349.0,88.0,12.0,5.0,9.0,2.0,25.0,29.0,Win
Dust II,363.0,81.0,6.0,2.0,13.0,1.0,16.0,17.0,Lost
Dust II,118.0,85.0,12.0,7.0,19.0,0.0,16.0,37.0,Win
Dust II,388.0,88.0,15.0,1.0,23.0,4.0,6.0,33.0,Tie
Mirage,19.0,80.0,17.0,12.0,26.0,1.0,35.0,50.0,Tie
Dust II,196.0,72.0,15.0,3.0,21.0,1.0,26.0,37.0,Lost
Mirage,147.0,90.0,26.0,3.0,14.0,2.0,3.0,68.0,Win
Mirage,187.0,87.0,19.0,4.0,24.0,4.0,15.0,55.0,Lost
Dust II,91.0,289.0,14.0,2.0,22.0,2.0,13.0,35.0,Tie
Dust II,320.0,87.0,25.0,4.0,12.0,3.0,24.0,57.0,Win
Mirage,84.0,147.0,12.0,2.0,22.0,1.0,8.0,29.0,Tie
Cache,53.0,90.0,6.0,1.0,19.0,0.0,33.0,15.0,Lost
Mirage,296.0,83.0,25.0,3.0,21.0,5.0,24.0,65.0,Tie
Dust II,264.0,93.0,11.0,5.0,20.0,1.0,27.0,38.0,Win
Dust II,228.0,104.0,5.0,1.0,7.0,1.0,40.0,13.0,Win
Dust II,59.0,79.0,29.0,5.0,22.0,5.0,17.0,77.0,Win
Dust II,216.0,80.0,24.0,3.0,20.0,3.0,25.0,60.0,Win
Dust II,33.0,93.0,13.0,4.0,21.0,2.0,23.0,36.0,Lost
Inferno,16.0,136.0,9.0,9.0,24.0,1.0,22.0,35.0,Lost
Dust II,274.0,82.0,15.0,10.0,17.0,0.0,20.0,47.0,Win
Dust II,210.0,80.0,13.0,5.0,19.0,2.0,15.0,40.0,Lost
Dust II,274.0,89.0,20.0,7.0,23.0,3.0,20.0,50.0,Tie
Dust II,376.0,111.0,27.0,6.0,21.0,3.0,22.0,69.0,Tie
Mirage,266.0,90.0,19.0,4.0,12.0,4.0,10.0,51.0,Win
Mirage,354.0,91.0,23.0,4.0,14.0,6.0,8.0,57.0,Win
Mirage,30.0,173.0,19.0,5.0,22.0,4.0,5.0,56.0,Tie
Cache,272.0,147.0,18.0,1.0,18.0,2.0,11.0,44.0,Win
Dust II,103.0,101.0,11.0,2.0,22.0,0.0,27.0,27.0,Lost
Mirage,442.0,85.0,11.0,4.0,14.0,1.0,36.0,30.0,Win
Dust II,143.0,143.0,25.0,5.0,19.0,4.0,20.0,61.0,Win
Dust II,135.0,237.0,11.0,3.0,20.0,1.0,27.0,25.0,Lost
Dust II,360.0,112.0,10.0,2.0,14.0,0.0,40.0,24.0,Lost
Mirage,25.0,0.0,2.0,1.0,8.0,0.0,0.0,5.0,Lost
Dust II,81.0,222.0,14.0,0.0,17.0,2.0,42.0,28.0,Win
Dust II,124.0,138.0,9.0,4.0,20.0,2.0,11.0,22.0,Lost
Dust II,27.0,92.0,15.0,5.0,17.0,2.0,40.0,39.0,Win
Dust II,32.0,89.0,22.0,7.0,17.0,4.0,13.0,60.0,Win
Dust II,65.0,85.0,23.0,3.0,15.0,3.0,30.0,54.0,Win
Dust II,283.0,82.0,17.0,1.0,16.0,1.0,29.0,41.0,Win
Dust II,253.0,81.0,11.0,6.0,20.0,0.0,36.0,28.0,Lost
Dust II,23.0,162.0,17.0,3.0,21.0,1.0,41.0,41.0,Lost
Dust II,210.0,78.0,11.0,5.0,22.0,1.0,36.0,29.0,Tie
Dust II,228.0,77.0,16.0,9.0,19.0,3.0,43.0,45.0,Win
Dust II,125.0,78.0,9.0,4.0,16.0,0.0,11.0,24.0,Win
Dust II,67.0,85.0,23.0,11.0,17.0,2.0,13.0,57.0,Win
Mirage,360.0,83.0,13.0,4.0,20.0,0.0,23.0,33.0,Lost
Dust II,149.0,104.0,15.0,4.0,22.0,0.0,18.0,41.0,Lost
Dust II,29.0,0.0,6.0,0.0,11.0,0.0,14.0,12.0,Lost
Dust II,375.0,80.0,14.0,5.0,22.0,2.0,42.0,38.0,Lost
Dust II,319.0,84.0,29.0,5.0,17.0,6.0,27.0,75.0,Win
Dust II,162.0,82.0,3.0,5.0,15.0,0.0,0.0,12.0,Win
Dust II,89.0,90.0,21.0,3.0,19.0,2.0,47.0,47.0,Lost
Dust II,205.0,83.0,21.0,8.0,26.0,2.0,19.0,57.0,Lost
Dust II,274.0,87.0,24.0,5.0,20.0,5.0,33.0,62.0,Lost
Mirage,19.0,116.0,22.0,7.0,20.0,5.0,4.0,61.0,Win
Dust II,231.0,390.0,23.0,7.0,19.0,2.0,34.0,58.0,Lost
Dust II,172.0,85.0,12.0,1.0,14.0,1.0,50.0,28.0,Lost
Cache,163.0,90.0,19.0,5.0,17.0,0.0,21.0,46.0,Win
Dust II,53.0,82.0,31.0,7.0,17.0,5.0,32.0,78.0,Win
Cache,149.0,0.0,8.0,1.0,12.0,1.0,37.0,17.0,Lost
Dust II,30.0,78.0,16.0,8.0,18.0,3.0,43.0,44.0,Win
Dust II,52.0,254.0,24.0,1.0,16.0,2.0,37.0,52.0,Lost
Mirage,128.0,85.0,26.0,2.0,20.0,3.0,30.0,72.0,Lost
Dust II,15.0,164.0,12.0,6.0,18.0,2.0,25.0,31.0,Win
Dust II,249.0,83.0,20.0,7.0,16.0,2.0,30.0,51.0,Win
Dust II,19.0,0.0,4.0,2.0,7.0,1.0,50.0,10.0,Win
Dust II,40.0,83.0,8.0,0.0,17.0,0.0,12.0,18.0,Lost
Dust II,10.0,87.0,16.0,6.0,22.0,3.0,18.0,48.0,Win
Mirage,319.0,84.0,22.0,7.0,23.0,2.0,18.0,59.0,Lost
Mirage,110.0,83.0,4.0,5.0,21.0,0.0,0.0,19.0,Lost
Dust II,208.0,82.0,19.0,4.0,13.0,5.0,10.0,52.0,Win
Dust II,221.0,135.0,17.0,2.0,20.0,3.0,17.0,48.0,Lost
Dust II,17.0,83.0,11.0,2.0,18.0,2.0,27.0,26.0,Lost
Dust II,217.0,142.0,14.0,7.0,18.0,3.0,28.0,45.0,Win
Mirage,13.0,79.0,16.0,4.0,25.0,4.0,18.0,50.0,Lost
Dust II,107.0,85.0,5.0,3.0,24.0,0.0,40.0,13.0,Lost
Dust II,47.0,86.0,9.0,5.0,20.0,2.0,22.0,29.0,Lost
Dust II,269.0,77.0,11.0,5.0,21.0,2.0,27.0,34.0,Lost
Dust II,357.0,88.0,15.0,3.0,18.0,3.0,26.0,46.0,Win
Dust II,12.0,84.0,15.0,3.0,17.0,1.0,33.0,36.0,Win
Mirage,75.0,85.0,16.0,1.0,15.0,3.0,25.0,45.0,Win
Mirage,31.0,132.0,12.0,8.0,20.0,2.0,25.0,38.0,Lost
Dust II,207.0,97.0,17.0,2.0,20.0,3.0,35.0,52.0,Win
Mirage,11.0,82.0,15.0,2.0,11.0,2.0,20.0,38.0,Win
Mirage,54.0,85.0,20.0,3.0,18.0,2.0,23.0,47.0,Lost
Dust II,267.0,79.0,4.0,2.0,16.0,0.0,0.0,10.0,Lost
